name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Miami,2021-01-01,26.9,23.3,24.8,28.6,23.3,25,20.7,78.4,0,0,0,,0,0,47.8,32.3,131.5,1021.4,64.7,16,348.5,29.8,6,,2021-01-01T07:07:42,2021-01-01T17:41:34,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839,0234W"
Miami,2021-01-02,27,21.5,24.5,28.2,21.5,24.6,19.6,74.8,0,0,0,,0,0,40.7,25.6,147.1,1020.4,64.2,15.9,384,32.7,5,,2021-01-02T07:07:58,2021-01-02T17:42:15,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839,0234W"
Miami,2021-01-03,28.2,19.4,23.8,29.5,19.4,24.1,19,75.9,0,0,0,,0,0,25.9,18.2,194.7,1018.1,50.6,16,365.8,31.2,6,,2021-01-03T07:08:12,2021-01-03T17:42:56,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839,0234W"
Miami,2021-01-04,23.5,17.7,20.9,23.5,17.7,20.9,13.3,64.7,0,0,0,,0,0,27.7,16.1,320.9,1016.9,88.8,16,309,26.7,3,,2021-01-04T07:08:24,2021-01-04T17:43:38,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839,0234W"
Miami,2021-01-05,21.9,14.2,17.6,21.9,14.2,17.6,7.1,52.2,0,0,0,,0,0,29.5,19.5,332.8,1017.3,13.4,16,391.5,34.3,6,,2021-01-05T07:08:36,2021-01-05T17:44:21,0.7,Clear,Clear conditions throughout the day.,clear-day,"0878W,KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839,0234W"
Miami,2021-01-06,22.8,11.8,16.8,22.8,11.8,16.8,7.9,59.7,0,0,0,,0,0,,9.8,335.6,1018.6,21.4,16,416.4,36.3,6,,2021-01-06T07:08:46,2021-01-06T17:45:04,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839,0234W"
Miami,2021-01-07,24.4,12.5,19.5,24.4,12.5,19.5,13.1,68.2,0,0,0,,0,0,38.9,24.7,151,1017.2,57.2,16,365.8,31.7,7,,2021-01-07T07:08:54,2021-01-07T17:45:47,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839,0234W"
Miami,2021-01-08,23.9,17.6,21.1,23.9,17.6,21.1,15.7,72.4,0,0,0,,0,0,36.1,25.2,266,1014.7,69.7,16,352.7,30.3,5,,2021-01-08T07:09:01,2021-01-08T17:46:31,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839,0234W"
Miami,2021-01-09,18.6,13.2,16.2,18.6,13.2,16.2,9,62.9,0,0,0,,0,0,37.1,22.9,322.4,1018.9,46.3,16,414.9,36.1,6,,2021-01-09T07:09:06,2021-01-09T17:47:16,0.92,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839,0234W"
Miami,2021-01-10,21,8.9,14.9,21,7.6,14.6,7.3,62.2,0,0,0,,0,0,,15.8,340,1022.6,28.4,16,393.8,34.3,6,,2021-01-10T07:09:10,2021-01-10T17:48:00,0.96,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839,0234W"
