name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
warsaw,2021-01-01,0.9,-1,0,0.9,-4.4,-1.7,-1.1,92.2,0,0,0,,0,0,10.8,10.2,187.7,1011.1,94.6,7.1,7.4,0.5,0,,2021-01-01T07:45:21,2021-01-01T15:34:06,0.53,Overcast,Cloudy skies throughout the day.,cloudy,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-01-02,2.5,-0.3,0.7,1.8,-3.4,-1.5,-0.2,93.9,0.27,100,25,"rain,snow",0,0,10.8,10.9,132.7,1017,92.5,6.1,11.7,1,1,,2021-01-02T07:45:12,2021-01-02T15:35:12,0.56,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-01-03,2.9,0.8,1.7,0,-4.1,-2,1,95,0.87,100,4.17,"rain,snow",0,0,10.8,20.7,70,1017.3,78.7,5.6,14.8,1.2,1,,2021-01-03T07:44:59,2021-01-03T15:36:21,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-01-04,3.9,1,2.8,1.3,-2.8,-0.4,2,94.7,0.03,100,8.33,"rain,snow",0,0,14.4,17.1,75.4,1017.2,94.9,6,10.9,1,1,,2021-01-04T07:44:42,2021-01-04T15:37:33,0.65,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-01-05,4.5,1,3.2,1,-3.7,-0.7,2.7,96.3,6.09,100,66.67,"rain,snow",0,0,46.8,22.2,58.4,1012.2,94.5,7.5,6.9,0.6,0,,2021-01-05T07:44:23,2021-01-05T15:38:48,0.7,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-01-06,2.7,1,1.8,1.8,-3.7,-0.9,0.9,94.3,0.88,100,20.83,"rain,snow",0,0,18,18.2,113.7,1011.9,92.2,9.2,10.1,0.9,1,,2021-01-06T07:43:59,2021-01-06T15:40:05,0.76,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-01-07,2.7,0,1,2.7,-3.1,-1.3,0.3,94.7,1.94,100,4.17,rain,0,0,10.8,11.1,225,1010,93.3,8.7,10.2,0.9,0,,2021-01-07T07:43:33,2021-01-07T15:41:24,0.82,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-01-08,1.5,-0.2,0.6,1,-3.1,-1.6,-0.9,89.4,0.03,100,12.5,"rain,snow",0,0,10.8,11.1,241,1013.3,75.7,9,13.4,1.1,1,,2021-01-08T07:43:03,2021-01-08T15:42:46,0.87,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-01-09,0.5,-0.9,-0.2,-3,-5.6,-4.1,-0.9,95.2,0.84,100,29.17,"rain,snow",0,0,7.2,22.8,264.1,1017.3,88.5,4.4,9.8,1,1,,2021-01-09T07:42:30,2021-01-09T15:44:10,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-01-10,0.4,-0.2,0,0,-4.9,-3,-0.4,96.8,0.29,100,4.17,"rain,snow",0,0,14.4,16.4,268.2,1022.9,95.5,5,8.6,0.7,0,,2021-01-10T07:41:53,2021-01-10T15:45:36,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
